date,is_known,is_EU,country,duration_sec,analysis_period,trigger_48h,trigger_7d,trigger_1M
2024-01-01 15:26:02,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-01-04 16:01:44,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-01-14 14:00:14,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-02-19 13:42:31,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-02-20 09:42:59,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-02-21 13:53:12,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-01 09:56:35,False,,,93,Baseline (Pre-Audit),False,False,False
2024-03-13 14:13:12,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-16 16:23:40,True,False,Non-EU,44,Baseline (Pre-Audit),False,False,False
2024-03-17 15:22:47,True,False,Non-EU,15,Baseline (Pre-Audit),False,False,False
2024-03-17 18:26:05,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-18 20:12:41,True,False,Non-EU,59,Baseline (Pre-Audit),False,False,False
2024-03-19 09:10:26,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-19 09:27:41,True,False,Non-EU,2,Baseline (Pre-Audit),False,False,False
2024-03-19 11:52:35,True,False,Non-EU,2701,Baseline (Pre-Audit),False,False,False
2024-03-19 12:39:02,True,False,Non-EU,201,Baseline (Pre-Audit),False,False,False
2024-03-19 18:04:40,True,False,Non-EU,50,Baseline (Pre-Audit),False,False,False
2024-03-20 11:35:57,True,False,Non-EU,67,Baseline (Pre-Audit),False,False,False
2024-03-20 13:41:24,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-21 16:26:41,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-21 17:25:18,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-22 15:22:07,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-22 15:22:50,True,False,Non-EU,64,Baseline (Pre-Audit),False,False,False
2024-03-22 15:23:35,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-22 15:25:04,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-22 15:25:38,True,False,Non-EU,6,Baseline (Pre-Audit),False,False,False
2024-03-22 15:26:28,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-22 15:26:50,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-24 12:13:00,True,False,Non-EU,51,Baseline (Pre-Audit),False,False,False
2024-03-24 21:05:59,True,False,Non-EU,42,Baseline (Pre-Audit),False,False,False
2024-03-25 03:39:24,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-03-27 14:29:27,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-04-19 18:49:53,True,True,DE,15,Baseline (Pre-Audit),False,False,False
2024-04-26 16:42:16,True,True,DE,18,Baseline (Pre-Audit),False,False,False
2024-04-26 20:09:50,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-04-26 21:05:17,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-04-27 11:43:12,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-04-27 11:52:13,True,True,DE,53,Baseline (Pre-Audit),False,False,False
2024-04-27 12:54:06,True,True,DE,37,Baseline (Pre-Audit),False,False,False
2024-04-27 13:25:08,True,True,DE,44,Baseline (Pre-Audit),False,False,False
2024-04-27 14:23:19,False,True,DE,32,Baseline (Pre-Audit),False,False,False
2024-04-27 19:31:00,True,True,DE,10,Baseline (Pre-Audit),False,False,False
2024-04-28 19:11:33,True,True,DE,34,Baseline (Pre-Audit),False,False,False
2024-04-29 17:24:59,True,True,DE,17,Baseline (Pre-Audit),False,False,False
2024-04-30 11:51:43,False,,,0,Baseline (Pre-Audit),False,False,False
2024-04-30 13:31:38,False,,,479,Baseline (Pre-Audit),False,False,False
2024-05-02 19:38:55,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-03 14:03:21,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-03 14:04:51,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-03 14:12:54,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-03 14:53:36,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-03 14:57:00,True,True,DE,36,Baseline (Pre-Audit),False,False,False
2024-05-04 15:28:33,True,True,DE,10,Baseline (Pre-Audit),False,False,False
2024-05-04 20:24:39,True,True,DE,13,Baseline (Pre-Audit),False,False,False
2024-05-04 21:59:22,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-05 10:00:15,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-12 14:55:14,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-12 14:55:57,True,True,DE,10,Baseline (Pre-Audit),False,False,False
2024-05-12 14:56:43,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-14 13:03:34,False,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-14 13:59:07,False,True,DE,20,Baseline (Pre-Audit),False,False,False
2024-05-14 14:00:46,False,False,Non-EU,7,Baseline (Pre-Audit),False,False,False
2024-05-16 17:27:39,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-16 17:31:27,True,True,DE,360,Baseline (Pre-Audit),False,False,False
2024-05-16 19:34:12,True,True,DE,8,Baseline (Pre-Audit),False,False,False
2024-05-17 13:07:39,True,True,DE,0,Baseline (Pre-Audit),False,False,False
